Purl,Title,Source Id,Collection ID,Hydrus Collection,Object Type,Status,Reg. Date,Pub. Date,
"http://purl.stanford.edu/bb490zh2544","Plunkett, Judith Sterling","Hydrus:item-cglasser-2014-05-29T17:53:28.315Z","zy176sq5284","Stanford Historical Society Oral History Program Interviews","item","v1 Accessioned","2014-05-29","2014-05-29",
"http://purl.stanford.edu/bb553jj1249","Investigating the Leukemogenic Properties of DNMT3A R882H in Human Cells","Hydrus:item-lindayu1-2015-05-08T23:18:04.773Z","pw312hc5457","Undergraduate Theses, Department of Biology, 2014-2015","item","v2 Accessioned","2015-05-08","2015-06-05",
"http://purl.stanford.edu/bb656zf6519","Transcript","Hydrus:item-dhartwig-2014-12-19T17:59:33.030Z","ps202nq5629","A Conversation with Ernie Nevers","item","v1 Accessioned","2014-12-19","2014-12-20",
"http://purl.stanford.edu/bb791xd7832","WASC Capacity and Preparatory Review","Hydrus:item-dhartwig-2013-04-09T17:06:15.719Z","dm398yy7438","WASC Accreditation","item","v2 Registered","2013-04-09","2013-05-04",
"http://purl.stanford.edu/bb815pq7465","1990 Mail Response Rates and Undercounts Data and Maps","Hydrus:item-krisk11-2015-07-20T18:42:56.489Z","cb946pf0135","Government Information State and Local Collection","item","v2 Accessioned","2015-07-20","2015-07-20",
"http://purl.stanford.edu/bb926bm7956","AMICA Bulletin, 1971, Volume 8, Issue 7","Hydrus:item-jessie2-2015-06-10T18:49:35.514Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-10","2015-06-10",
"http://purl.stanford.edu/bb995rr0236","DIRECTED DIFFERENTIATION of Female Induced Pluripotent Stem Cells Using BMPs and Retinoic Acid","Hydrus:item-moncada-2014-05-08T14:17:08.537Z","fr625dm6043","Undergraduate Theses, Department of Biology, 2013-2014","item","v1 Accessioned","2014-05-08","2014-05-19",
"http://purl.stanford.edu/bc120sz0403","Status and conflict : a sociological perspective on the urban race problem. [TR 19]","Hydrus:item-regirob-2014-07-18T17:06:49.721Z","vj354pj0087","Laboratory for Social Research Technical Report Series (1961-1985), Stanford University Department of Sociology","item","v3 Accessioned","2014-07-18","2015-04-10",
"http://purl.stanford.edu/bc225ms7144","Estimation in panel models: results on pooling cross-sections and time series. [TR 51]","Hydrus:item-regirob-2014-07-28T20:36:19.526Z","vj354pj0087","Laboratory for Social Research Technical Report Series (1961-1985), Stanford University Department of Sociology","item","v1 Registered","2014-07-28","",
"http://purl.stanford.edu/bc225xg9715","Generation Anthropocene","Hydrus:collection-amyhodge-2013-03-15T18:27:56.741Z","","","collection; set","v1 Accessioned","2013-03-15","2013-03-15",
"http://purl.stanford.edu/bc585rd7329","The Crime of the Century and How to Prevent It","Hydrus:item-mlehman2-2014-04-28T17:55:45.568Z","yd434fg1175","ME310 student project reports","item","v1 Registered","2014-04-28","",
"http://purl.stanford.edu/bc808kt5802","Membership","Hydrus:item-dhartwig-2015-02-05T02:39:06.716Z","dq564cp2331","Stanford Campus Recreation Association Records","item","v1 Accessioned","2015-02-05","2015-02-05",
"http://purl.stanford.edu/bc850dq1832","Early English Prose Fiction","Hydrus:item-yahairaa-2014-08-04T16:07:23.483Z","jh360sq6699","Humanities Text Services Full-Text Chadwyck Healey Data Collection","item","v1 Accessioned","2014-08-04","2014-08-04",
"http://purl.stanford.edu/bc865wh0982","Designing and Implementing Kiwi: A Secure Distributed File System over HTTPS","Hydrus:item-kgust-2013-04-15T20:22:43.604Z","jg722zc0626","Undergraduate Theses, School of Engineering","item","v2 Accessioned","2013-04-15","2013-08-18",
"http://purl.stanford.edu/bd045kh3237","Patterns of Slip Distribution Across Normal Faults in the Niger Delta and Their Implications for Fault Evolution","Hydrus:item-elenas55-2015-07-01T18:42:23.913Z","vd298zm5495","The Stanford Rock Fracture Project","item","v1 Accessioned","2015-07-01","2015-07-20",
"http://purl.stanford.edu/bd058nn0446","Correspondence (Series 2)","Hydrus:item-dhartwig-2013-05-06T20:55:35.422Z","zx692xz8270","Leland Stanford Papers","item","v5 Accessioned","2013-05-06","2015-04-02",
"http://purl.stanford.edu/bd098th5420","The Negro family, the case for national action","Hydrus:item-jrjacobs-2015-02-17T03:54:41.776Z","nc574ck0385","Government Information United States Federal Collection","item","v1 Accessioned","2015-02-17","2015-02-17",
"http://purl.stanford.edu/bd289ys3390","Permeability Characterization of Natural Compaction Bands Using Core Flooding Experiments and 3D Image-Based Analysis: Comparing and Contrasting the Results From Two Different Methods","Hydrus:item-elenas55-2015-06-17T18:42:59.731Z","vd298zm5495","The Stanford Rock Fracture Project","item","v2 Accessioned","2015-06-17","2015-07-29",
"http://purl.stanford.edu/bd378sq3542","AMICA Bulletin, 1975, Volume 12, Issue 9","Hydrus:item-jessie2-2015-06-12T17:22:57.530Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-12","2015-06-13",
"http://purl.stanford.edu/bd605gc5624","Open Space: Satellite Manufacturing Inside Out","Hydrus:item-mlehman2-2014-04-28T21:06:06.270Z","yd434fg1175","ME310 student project reports","item","v1 Registered","2014-04-28","",
"http://purl.stanford.edu/bd608mj3166","Stanford Arts Institute Records","Hydrus:collection-dhartwig-2013-04-02T02:29:59.225Z","","","collection; set","v1 Accessioned","2013-04-02","2013-04-26",
"http://purl.stanford.edu/bd701dh8028","The Academy Unbound: Linked Data as Revolution","Hydrus:item-pschreur-2013-04-08T22:27:56.377Z","hn730ks3626","Stanford University Libraries staff publications and research","item","v2 Accessioned","2013-04-08","2013-06-04",
"http://purl.stanford.edu/bd721qx0865","Stanford's Architecture at the Crossroads","Hydrus:item-dhartwig-2013-08-29T17:12:53.305Z","nh200sz7889","John Carl Warnecke, "Stanford's Architecture at the Crossroads"","item","v1 Accessioned","2013-08-29","2013-09-11",
"http://purl.stanford.edu/bd829sf1034","HP35(NLE-NLE) Trajectory Data","Hydrus:item-kyleb-2013-03-18T04:05:54.309Z","cj269gn0736","Folding@home Collection","item","v3 Accessioned","2013-03-18","2013-09-17",
"http://purl.stanford.edu/bd922fr6093","APO for Stanford Presidents Collection","Hydrus:adminPolicy-dhartwig-2015-01-20T02:27:43.646Z","","","adminPolicy","v1 Accessioned","2015-01-20","2015-01-20",
"http://purl.stanford.edu/bd989wf0051","Prescription for Prevention; Nuclear War: Our Greatest Health Hazard Proceedings","Hydrus:collection-dhartwig-2015-01-22T22:45:31.597Z","","","collection; set","v1 Accessioned","2015-01-22","2015-01-22",
"http://purl.stanford.edu/bf118js7248","APO for Historic houses of San Juan Hill : walking tour and reception","Hydrus:adminPolicy-dhartwig-2014-03-17T23:52:19.202Z","","","adminPolicy","v2 Accessioned","2014-03-17","2014-08-07",
"http://purl.stanford.edu/bf202fx9561","Structural Relations Between Folds and Thrust Faults: Preliminary Analysis of the Emigrant Gap Anticline, Wyoming","Hydrus:item-elenas55-2015-06-29T17:04:40.859Z","vd298zm5495","The Stanford Rock Fracture Project","item","v2 Accessioned","2015-06-29","2015-07-29",
"http://purl.stanford.edu/bf204zh4739","Pneumatic Pneus Founding Chapter Newsletter, 2003, April Issue","Hydrus:item-jessie2-2015-06-17T16:13:41.137Z","tb053xc7429","Jack Edwards Pneumatic Pneus Collection","item","v1 Registered","2015-06-17","",
"http://purl.stanford.edu/bf412yb0418","Micromechanical Simulation of Earthquake-Induced Fracture in Steel Structures","Hydrus:item-linday-2013-09-12T18:56:29.243Z","mz198fp9366","John A. Blume Earthquake Engineering Center Technical Report Series","item","v2 Accessioned","2013-09-12","2014-02-07",
"http://purl.stanford.edu/bf574nq8973","Pneumatic Pneus Founding Chapter Newsletter, 2000, December Issue","Hydrus:item-jessie2-2015-06-16T23:49:55.167Z","tb053xc7429","Jack Edwards Pneumatic Pneus Collection","item","v1 Registered","2015-06-16","",
"http://purl.stanford.edu/bf786cg9031","Long Term Monitoring of Sea Surface Salinity at Hopkins Marine Station (1919-1964)","Hydrus:item-dkohrs-2013-03-11T19:17:48.884Z","pn808wc6253","Hopkins Marine Station Collection","item","v3 Accessioned","2013-03-11","2014-02-12",
"http://purl.stanford.edu/bf808fx2781","Films","Hydrus:item-dhartwig-2013-06-27T16:48:55.531Z","nh642gf0406","Richard N. Zare Audiovisual Materials","item","v2 Accessioned","2013-06-27","2014-04-04",
"http://purl.stanford.edu/bf842dg5211","Nix, William D.","Hydrus:item-cglasser-2014-05-29T17:44:59.944Z","zy176sq5284","Stanford Historical Society Oral History Program Interviews","item","v2 Accessioned","2014-05-29","2014-05-29",
"http://purl.stanford.edu/bf848yf4530","The Stanford Rock Fracture Project 2003 Field Trip Guide","Hydrus:item-elenas55-2015-06-27T05:45:00.916Z","vd298zm5495","The Stanford Rock Fracture Project","item","v1 Accessioned","2015-06-27","2015-07-20",
"http://purl.stanford.edu/bf950qp8995","Reports for Spring 2013-2014","Hydrus:item-dmchen-2014-06-02T17:32:33.124Z","ff984ns9763","Multimedia Files for Digital Image Processing Class at Stanford","item","v3 Accessioned","2014-06-02","2014-06-12",
"http://purl.stanford.edu/bg158sn4020","MATLAB Scripts for parameter estimation "Towards in vivo estimation of reaction kinetics using high-throughput metabolomics data: a maximum likelihood approach"","Hydrus:item-weiruo16-2014-11-10T18:41:09.477Z","ns069zc4473","Towards in vivo estimation of reaction kinetics using high-throughput metabolomics data: a maximum likelihood approach","item","v3 Accessioned","2014-11-10","2014-12-08",
"http://purl.stanford.edu/bg616nn8691","Supplementary mapped data (.bam) for Kennewick Man","Hydrus:item-mortenr2-2015-06-22T17:54:53.394Z","md919gh6774","Stanford Research Data","item","v1 Accessioned","2015-06-22","2015-06-22",
"http://purl.stanford.edu/bg674gb7182","SAP Engage","Hydrus:item-rnariyos-2014-06-17T02:17:09.484Z","kq629sd5182","ME310 Project Based Engineering Design","item","v1 Accessioned","2014-06-17","2014-06-18",
"http://purl.stanford.edu/bg823wn2892","DeduceIt: A Tool for Representing and Evaluating Student Derivations","Hydrus:item-skota-2013-04-04T02:38:20.908Z","xv924ks7647","Undergraduate Theses, Program in Engineering Physics","item","v2 Accessioned","2013-04-04","2013-07-24",
"http://purl.stanford.edu/bg930gc4574","AMICA Bulletin, 1976, Volume 13, Issue 4","Hydrus:item-jessie2-2015-06-12T17:34:58.119Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-12","2015-06-13",
"http://purl.stanford.edu/bg958dw2659","AMICA Bulletin, 1993, Volume 30, Issue 5","Hydrus:item-jessie2-2015-06-15T19:08:07.818Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-15","2015-06-15",
"http://purl.stanford.edu/bh036kv6092","Enlace","Hydrus:collection-dhartwig-2013-03-19T16:43:27.792Z","","","collection; set","v1 Accessioned","2013-03-19","2013-03-19",
"http://purl.stanford.edu/bh082zh0439","Comparative Income Taxation Database (CITD)","Hydrus:item-ronbo-2014-07-11T20:35:11.794Z","nz851dz8474","SSDS Social Science Data Collection","item","v5 Accessioned","2014-07-11","2015-06-30",
"http://purl.stanford.edu/bh091yn0181","Art work","Hydrus:item-dhartwig-2015-04-23T18:03:14.742Z","ch100bz7050","Matt Kahn Papers","item","v1 Registered","2015-04-23","",
"http://purl.stanford.edu/bh127tj7964","Photographs","Hydrus:item-dhartwig-2014-11-16T17:29:04.316Z","zw717qn2407","Willis Willard Waite Photographs","item","v1 Accessioned","2014-11-16","2014-12-22",
"http://purl.stanford.edu/bh259kw0760","AMICA Bulletin, 2011, Volume 48, Issue 6","Hydrus:item-jessie2-2015-06-15T23:10:00.889Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-15","2015-06-15",
"http://purl.stanford.edu/bh308xp2416","Loren R. Mosher Papers","Hydrus:collection-dhartwig-2013-06-21T16:46:38.242Z","","","collection; set","v1 Accessioned","2013-06-21","2013-06-21",
"http://purl.stanford.edu/bh349fb5721","Open Access to Data: Policy Mandate and Scientific Imperative","Hydrus:item-amyhodge-2013-12-19T23:17:17.852Z","ck552zg2217","Forum on the Future of Scientific Publishing","item","v1 Accessioned","2013-12-19","2013-12-20",
"http://purl.stanford.edu/bh364jv1083","Supplemental Data for Mosca and Luo, 2014 (eLife): Raw Density Images of VA1lm","Hydrus:item-tmosca-2014-12-14T00:38:07.810Z","wn197rj7271","Drosophila Antennal Lobe Synapses","item","v4 Accessioned","2014-12-14","2015-01-13",
"http://purl.stanford.edu/bh419zh0672","Ki'i","Hydrus:item-mlehman2-2014-07-11T21:17:35.177Z","yd434fg1175","ME310 student project reports","item","v1 Registered","2014-07-11","",
"http://purl.stanford.edu/bh465jm2354","APO for Stanford University Construction Photographs","Hydrus:adminPolicy-dhartwig-2014-10-07T03:29:53.802Z","","","adminPolicy","v1 Accessioned","2014-10-07","2014-10-07",
"http://purl.stanford.edu/bh466xj7762","APO for John M. Chowning Papers","Hydrus:adminPolicy-dhartwig-2015-05-12T17:56:05.267Z","","","adminPolicy","v1 Accessioned","2015-05-12","2015-05-12",
"http://purl.stanford.edu/bh559bq6735","WASC Capacity and Preparatory Review Report, 2010","Hydrus:item-dhartwig-2013-06-24T20:45:11.568Z","dm398yy7438","WASC Accreditation","item","v2 Accessioned","2013-06-24","2014-04-04",
"http://purl.stanford.edu/bh854vw1727","Stanford Eating Clubs Records","Hydrus:collection-dhartwig-2013-03-22T22:11:27.747Z","","","collection; set","v1 Accessioned","2013-03-22","2013-03-22",
"http://purl.stanford.edu/bh993vv1453","Status perceptions [Revised ed.]. [TR 43]","Hydrus:item-regirob-2014-07-25T17:29:42.611Z","vj354pj0087","Laboratory for Social Research Technical Report Series (1961-1985), Stanford University Department of Sociology","item","v2 Accessioned","2014-07-25","2015-06-02",
"http://purl.stanford.edu/bj044sg1924","Structural Evolution of the Buena Vista and Elk Hills Anticlines and Hydrocarbon Trapping Potential (South San Joaquin Basin, California)","Hydrus:item-elenas55-2015-07-01T18:47:45.926Z","vd298zm5495","The Stanford Rock Fracture Project","item","v1 Accessioned","2015-07-01","2015-07-20",
"http://purl.stanford.edu/bj057hs4012","APO for Archeological evaluation of the Greystone Quarry in the Santa Teresa hills","Hydrus:adminPolicy-dhartwig-2015-01-22T02:27:48.191Z","","","adminPolicy","v1 Accessioned","2015-01-22","2015-01-22",
"http://purl.stanford.edu/bj204fr8183","AMICA Bulletin, 2009, Volume 46, Issue 3","Hydrus:item-jessie2-2015-06-15T22:41:19.913Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-15","2015-06-15",
"http://purl.stanford.edu/bj259sh6697","Meeting minutes","Hydrus:item-dhartwig-2013-07-25T15:58:31.478Z","zs987yh4895","Hanna House Board of Governors Meeting Minutes","item","v2 Accessioned","2013-07-25","2014-01-25",
"http://purl.stanford.edu/bj285rv5005","AMICA Bulletin, 1977, Volume 14, Issue 5","Hydrus:item-jessie2-2015-06-12T17:52:51.241Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-12","2015-06-13",
"http://purl.stanford.edu/bj335rq6711","Equal Area Hexagonal Grid of the United States, Unprojected","Hydrus:item-maples-2015-04-09T21:35:59.011Z","hy561cz6360","Stanford Geospatial Center Teaching Data","item","v1 Accessioned","2015-04-09","2015-04-23",
"http://purl.stanford.edu/bj374zq2981","Mentoring and the College Experience: Narratives of Filipino American Undergraduate Students at Stanford","Hydrus:item-kjabra-2015-05-29T16:14:40.848Z","qs035dj7859","Undergraduate Honors Theses, Graduate School of Education","item","v2 Accessioned","2015-05-29","2015-06-08",
"http://purl.stanford.edu/bj473ny8179","Prospective Adaptation in the Use of External Representations","Hydrus:item-kkerns-2014-04-16T20:14:50.492Z","tz959sb6952","Graduate School of Education Open Archive","item","v2 Accessioned","2014-04-16","2014-04-25",
"http://purl.stanford.edu/bj528ym1734","APO for Stanford University, Army Specialized Training Program, Records","Hydrus:adminPolicy-dhartwig-2014-04-22T15:57:08.961Z","","","adminPolicy","v2 Accessioned","2014-04-22","2014-08-07",
"http://purl.stanford.edu/bj567pn7064","Videos for Autumn 2013-2014","Hydrus:item-dmchen-2013-12-15T21:50:39.839Z","ff984ns9763","Multimedia Files for Digital Image Processing Class at Stanford","item","v1 Accessioned","2013-12-15","2013-12-15",
"http://purl.stanford.edu/bj588pc5168","The Role of Neat1 in p53-mediated cell-cycle arrest, apoptosis and senescence","Hydrus:item-csinow-2014-05-09T03:13:01.960Z","fr625dm6043","Undergraduate Theses, Department of Biology, 2013-2014","item","v2 Accessioned","2014-05-09","2015-05-08",
"http://purl.stanford.edu/bj600br8916","Proposals for Spring 2009-2010","Hydrus:item-dmchen-2013-12-09T22:17:56.875Z","ff984ns9763","Multimedia Files for Digital Image Processing Class at Stanford","item","v1 Accessioned","2013-12-09","2013-12-12",
"http://purl.stanford.edu/bj652bs1966","ROMU: A revolutionary new wearable product for seamless pedestrian navigation","Hydrus:item-ahudak-2014-06-11T00:27:09.545Z","kq629sd5182","ME310 Project Based Engineering Design","item","v2 Accessioned","2014-06-11","2014-07-09",
"http://purl.stanford.edu/bj791sx9494","Courses and Degrees","Hydrus:collection-dhartwig-2014-01-24T23:40:11.423Z","","","collection; set","v1 Accessioned","2014-01-24","2014-01-24",
"http://purl.stanford.edu/bj798mj3298","End-to-End Text Recognition with Convolutional Neural Networks","Hydrus:item-kgust-2013-05-31T21:17:47.896Z","jg722zc0626","Undergraduate Theses, School of Engineering","item","v2 Accessioned","2013-05-31","2013-08-13",
"http://purl.stanford.edu/bj807vg9582","Image Analysis-Aided Techniques for the Characterization of Petrophysical Parameters in Faulted Clastic Rocks","Hydrus:item-elenas55-2015-07-01T00:03:21.284Z","vd298zm5495","The Stanford Rock Fracture Project","item","v2 Accessioned","2015-07-01","2015-07-29",
"http://purl.stanford.edu/bj911cn7727","Hydrus","Hydrus:item-knope-2015-03-06T19:49:18.567Z","ns899tx9783","Payne Paleobiology Lab Data Files","item","v1 Registered","2015-03-06","",
"http://purl.stanford.edu/bk028qb9239","Hydrus","Hydrus:item-hfrost-2015-07-23T21:24:24.656Z","gx057tf6314","Office of Technology Licensing Software Archive","item","v1 Registered","2015-07-23","",
"http://purl.stanford.edu/bk068fh4950","APO for Stanford University, Department of Computer Science, Technical Reports","Hydrus:adminPolicy-dhartwig-2013-06-10T18:11:42.520Z","","","adminPolicy","v2 Accessioned","2013-06-10","2014-08-07",
"http://purl.stanford.edu/bk102jg3416","French political economy and the making of public opinion as a political concept (1750-1765)","Hydrus:item-ssussman-2014-06-25T22:39:04.163Z","nj859zd5622","Papers from the Gimon Conference on French Political Economy, April 2004","item","v1 Accessioned","2014-06-25","2014-09-22",
"http://purl.stanford.edu/bk272xq8431","Die Luft der Freihet weht - On and Off; On the Origins and History of the Stanford Motto","Hydrus:collection-dhartwig-2013-03-22T23:48:40.537Z","","","collection; set","v1 Accessioned","2013-03-22","2013-03-23",
"http://purl.stanford.edu/bk331wj7156","APO for Stanford Eating Clubs Records","Hydrus:adminPolicy-dhartwig-2013-03-22T22:11:20.596Z","","","adminPolicy","v2 Accessioned","2013-03-22","2014-08-07",
"http://purl.stanford.edu/bk409ms4259","APO for Stanford University, Walter H. Shorenstein Asia-Pacific Research Center, Records","Hydrus:adminPolicy-dhartwig-2013-05-22T20:59:04.851Z","","","adminPolicy","v2 Accessioned","2013-05-22","2014-08-07",
"http://purl.stanford.edu/bk500mg2242","Minutes, 2007 Jan 18","Hydrus:item-dhartwig-2013-05-13T23:53:26.701Z","yb533nc1884","Stanford University, Cabinet, Records","item","v3 Accessioned","2013-05-13","2015-04-10",
"http://purl.stanford.edu/bk575xv7154","Minutes, 2008 Sep 18","Hydrus:item-dhartwig-2013-05-14T03:59:25.540Z","yb533nc1884","Stanford University, Cabinet, Records","item","v3 Accessioned","2013-05-14","2015-04-10",
"http://purl.stanford.edu/bk589wz1945","APO for Hannah and Peter's test","Hydrus:adminPolicy-hfrost-2014-05-22T17:42:39.522Z","","","adminPolicy","v2 Accessioned","2014-05-22","2014-07-31",
"http://purl.stanford.edu/bk674bd5187","Proposals for Spring 2012-2013","Hydrus:item-dmchen-2013-12-10T19:44:21.110Z","ff984ns9763","Multimedia Files for Digital Image Processing Class at Stanford","item","v1 Accessioned","2013-12-10","2013-12-12",
"http://purl.stanford.edu/bk688qf2418","Neoliberalism, Motion, and Environmental Destruction","Hydrus:item-rpittman-2014-06-11T05:34:35.660Z","fk441ps0303","Sounds of Stanford Collection - ARS.0154","item","v2 Accessioned","2014-06-11","2014-06-18",
"http://purl.stanford.edu/bk930rs9048","APO for Stanford University, LGBT Community Resources Center, Records","Hydrus:adminPolicy-dhartwig-2013-07-05T16:32:36.731Z","","","adminPolicy","v2 Accessioned","2013-07-05","2014-08-07",
"http://purl.stanford.edu/bk961qj1069","APO for Out on the farm","Hydrus:adminPolicy-dhartwig-2013-04-09T15:52:25.798Z","","","adminPolicy","v2 Accessioned","2013-04-09","2014-08-07",
"http://purl.stanford.edu/bm080rt0328","Tro Harper Photographs of Stanford Student Life","Hydrus:collection-dhartwig-2014-12-20T18:44:59.036Z","","","collection; set","v1 Accessioned","2014-12-20","2014-12-20",
"http://purl.stanford.edu/bm095mq0480","Determining parentage in a population of harvester ants","Hydrus:item-crwayne-2014-05-14T07:52:02.368Z","fr625dm6043","Undergraduate Theses, Department of Biology, 2013-2014","item","v1 Accessioned","2014-05-14","2014-05-14",
"http://purl.stanford.edu/bm135dj1865","Audiovisual material","Hydrus:item-dhartwig-2013-06-27T17:12:54.382Z","zk595gj3598","Stanford University, Program in Human Biology, 40th Anniversary Documentary","item","v1 Accessioned","2013-06-27","2014-03-08",
"http://purl.stanford.edu/bm423yc2547","AMICA Bulletin, 1976, Volume 13, Issue 5","Hydrus:item-jessie2-2015-06-12T17:36:45.564Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-12","2015-06-13",
"http://purl.stanford.edu/bm447rk7540","Pneumatic Pneus Founding Chapter Newsletter, 2010, October Issue","Hydrus:item-jessie2-2015-06-17T17:34:39.348Z","tb053xc7429","Jack Edwards Pneumatic Pneus Collection","item","v1 Registered","2015-06-17","",
"http://purl.stanford.edu/bm494pv4287","Multi-characteristic status situations and the determination of power and prestige orders. [TR 35]","Hydrus:item-regirob-2014-07-22T22:24:39.561Z","vj354pj0087","Laboratory for Social Research Technical Report Series (1961-1985), Stanford University Department of Sociology","item","v2 Registered","2014-07-22","2014-08-04",
"http://purl.stanford.edu/bm630zk2996","APO for The Rap Sheet","Hydrus:adminPolicy-dhartwig-2013-03-19T09:24:52.895Z","","","adminPolicy","v2 Accessioned","2013-03-19","2014-08-07",
"http://purl.stanford.edu/bm737qj0137","California Asian American Artists Biographical Survey Records","Hydrus:collection-dhartwig-2014-12-04T18:25:52.356Z","","","collection; set","v1 Accessioned","2014-12-04","2014-12-04",
"http://purl.stanford.edu/bm785fz9041","Nineteenth Century Short Title Catalog, Series I-IV","Hydrus:item-yahairaa-2014-07-30T20:26:32.559Z","jh360sq6699","Humanities Text Services Full-Text Chadwyck Healey Data Collection","item","v1 Accessioned","2014-07-30","2014-08-01",
"http://purl.stanford.edu/bn021tv2415","Mechanical and Environmental Characterization of Bio-Based Composites","Hydrus:item-amyhodge-2013-09-11T21:55:54.309Z","mz198fp9366","John A. Blume Earthquake Engineering Center Technical Report Series","item","v2 Accessioned","2013-09-11","2014-01-31",
"http://purl.stanford.edu/bn050ms4991","AMICA Bulletin, 1975, Volume 12, Issue 2/3","Hydrus:item-jessie2-2015-06-12T17:14:28.518Z","xm889sd1281","Terry Smythe AMICA Collection","item","v1 Accessioned","2015-06-12","2015-06-13",
"http://purl.stanford.edu/bn261qk2343","Pneumatic Pneus Founding Chapter Newsletter, 2001, June Issue","Hydrus:item-jessie2-2015-06-17T15:59:30.591Z","tb053xc7429","Jack Edwards Pneumatic Pneus Collection","item","v1 Registered","2015-06-17","",
"http://purl.stanford.edu/bn302xg3048","Relationships Between Subsurface Subsidence and Surface Fissures Above Coalbed Fires","Hydrus:item-elenas55-2015-06-19T16:31:27.799Z","vd298zm5495","The Stanford Rock Fracture Project","item","v2 Accessioned","2015-06-19","2015-07-29",
"http://purl.stanford.edu/bn358ym9323","Horace Davis Papers","Hydrus:collection-dhartwig-2013-07-22T19:44:38.930Z","","","collection; set","v1 Accessioned","2013-07-22","2013-07-22",
"http://purl.stanford.edu/bn500pt7009","APO for Stanford fund-raising letters, 1941-1942.","Hydrus:adminPolicy-jejohns1-2013-09-20T20:54:58.112Z","","","adminPolicy","v2 Accessioned","2013-09-20","2014-08-07",
"http://purl.stanford.edu/bn645ms7799","Symbiosee","Hydrus:item-mlehman2-2014-05-05T17:44:05.646Z","yd434fg1175","ME310 student project reports","item","v1 Accessioned","2014-05-05","2014-08-05",
"http://purl.stanford.edu/bn668vh1952","Osei-Opare, Kwadwo Nana, The continued fight against neo-colonialism: a case study of Dr. Kwame Nkrumah and Patrice Lumumba","Hydrus:item-dhartwig-2013-04-08T19:39:45.058Z","zk963rj8129","Stanford University, Department of History, Honors Theses","item","v2 Accessioned","2013-04-08","2014-04-03",
"http://purl.stanford.edu/bn720jm8470","BnF collection - SDR deposit agreement","Hydrus:item-hfrost-2014-02-12T01:04:26.742Z","","","agreement","v3 Accessioned","2014-02-12","2014-10-21",
